number,name,status
1,PEP Purpose and Guidelines,PA
13,Python Language Governance,PA
101,Doing Python Releases 101,IA
12,Sample reStructuredText PEP Template,PA
20,The Zen of Python,IA
100,Python Unicode Integration,SF
42,Feature Requests,PW
102,Doing Python Micro Releases,IS
11,CPython platform support,PA
8,Style Guide for Python Code,PA
345,Metadata for Python Software Packages 1.2,SS
7,Style Guide for C Code,PA
6,Bug Fix Releases,PS
9,Sample Plaintext PEP Template,PW
4,Deprecation of Standard Modules,PA
500,A protocol for delegating datetime methods to their tzinfo implementations,SR
10,Voting Guidelines,PA
5,Guidelines for Language Evolution,PS
499,python -m foo should also bind 'foo' in sys.modules,SD
514,Python registration in the Windows registry,IA
513,A Platform Tag for Portable Linux Built Distributions,IS
512,Migrating from hg.python.org to GitHub,PF
511,API for code transformers,SR
510,Specialize functions with guards,SR
530,Asynchronous Comprehensions,SF
569,Python 3.8 Release Schedule,IA
616,String methods to remove prefixes and suffixes,SF
615,Support for the IANA Time Zone Database in the Standard Library,SF
614,Relaxing Grammar Restrictions On Decorators,SF
618,Add Optional Length-Checking To zip,SF
621,Storing project metadata in pyproject.toml,SF
617,New PEG parser for CPython,SF
636,Structural Pattern Matching: Tutorial,IF
697,Limited C API for Extending Opaque Types,SF
725,Specifying external dependencies in pyproject.toml,S
724,Stricter Type Guards,SW
723,Inline script metadata,SF
722,Dependency specification for single-file scripts,SR
709,Inlined comprehensions,SF
732,The Python Documentation Editorial Board,PA
801,Reserved,IA
733,An Evaluation of Python’s Public C API,I
3145,Asynchronous I/O For subprocess.Popen,SW
3148,futures - execute computations asynchronously,SF
3146,Merging Unladen Swallow into CPython,SW
8102,2021 Term Steering Council election,IF
8100,January 2019 Steering Council election,IF
8103,2022 Term Steering Council election,IF
8101,2020 Term Steering Council election,IF
3147,PYC Repository Directories,SF
8105,2024 Term Steering Council election,IF
8104,2023 Term Steering Council election,IF
8011,Python Governance Model Lead by Trio of Pythonistas,IR
8014,The Commons Governance Model,IR
8015,Organization of the Python community,IR
8013,The External Council Governance Model,IR
8012,The Community Governance Model,IR
8016,The Steering Council Model,IA
3154,Pickle protocol version 4,SF
3155,Qualified name for classes and functions,SF
8010,The Technical Leader Governance Model,IR
3333,Python Web Server Gateway Interface v1.0.1,IF
8001,Python Governance Voting Process,PF
8000,Python Language Governance Proposal Overview,IF
8002,Open Source Governance Survey,IF
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,SF
3152,Cofunctions,SR
3153,Asynchronous IO support,SS
3151,Reworking the OS and IO exception hierarchy,SF
3149,ABI version tagged .so files,SF
3150,Statement local namespaces (aka “given” clause),SD
3144,IP Address Manipulation Library for the Python Standard Library,SF
3143,Standard daemon process library,SD
3142,Add a “while” clause to generator expressions,SR
3139,Cleaning out sys and the “interpreter” module,SR
3140,"str(container) should call str(item), not repr(item)",SR
3141,A Type Hierarchy for Numbers,SF
3136,Labeled break and continue,SR
3137,Immutable Bytes and Mutable Buffer,SF
3134,Exception Chaining and Embedded Tracebacks,SF
3135,New Super,SF
3138,String representation in Python 3000,SF
3133,Introducing Roles,SR
3129,Class Decorators,SF
3128,BList: A Faster List-like Type,SR
3131,Supporting Non-ASCII Identifiers,SF
3127,Integer Literal Support and Syntax,SF
3132,Extended Iterable Unpacking,SF
3130,Access to Current Module/Class/Function,SR
3126,Remove Implicit String Concatenation,SR
3123,Making PyObject_HEAD conform to standard C,SF
3125,Remove Backslash Continuation,SR
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",SD
3119,Introducing Abstract Base Classes,SF
3122,Delineation of the main module,SR
3121,Extension Module Initialization and Finalization,SF
3120,Using UTF-8 as the default source encoding,SF
3118,Revising the buffer protocol,SF
3111,Simple input built-in in Python 3000,SF
3116,New I/O,SF
3115,Metaclasses in Python 3000,SF
3114,Renaming iterator.next() to iterator.__next__(),SF
3117,Postfix type declarations,SR
3113,Removal of Tuple Parameter Unpacking,SF
3112,Bytes literals in Python 3000,SF
3110,Catching Exceptions in Python 3000,SF
3107,Function Annotations,SF
3103,A Switch/Case Statement,SR
3106,"Revamping dict.keys(), .values() and .items()",SF
3105,Make print a function,SF
3108,Standard Library Reorganization,SF
3104,Access to Names in Outer Scopes,SF
3102,Keyword-Only Arguments,SF
3109,Raising Exceptions in Python 3000,SF
3101,Advanced String Formatting,SF
2026,Calendar versioning for Python,P
3002,Procedure for Backwards-Incompatible Changes,PF
3099,Things that will Not Change in Python 3000,PF
3003,Python Language Moratorium,PF
3001,Procedure for reviewing and improving standard library modules,PW
3100,Miscellaneous Python 3.0 Plans,PF
3000,Python 3000,PF
745,Python 3.14 Release Schedule,IA
746,Type checking Annotated metadata,S
744,JIT Compilation,I
747,TypeExpr: Type Hint for a Type Expression,S
743,Add Py_COMPAT_API_VERSION to the Python C API,S
754,IEEE 754 Floating Point Special Values,SR
789,Preventing task-cancellation bugs by limiting yield in async generators,S
749,Implementing PEP 649,S
742,Narrowing types with TypeIs,SA
737,C API to format a type fully qualified name,SF
740,Index support for digital attestations,I
739,Static description file for build details of Python installations,S
736,Shorthand syntax for keyword arguments at invocation,S
741,Python Configuration C API,S
738,Adding Android as a supported platform,SA
735,Dependency Groups in pyproject.toml,S
734,Multiple Interpreters in the Stdlib,SD
730,Adding iOS as a supported platform,SF
726,Module __setattr__ and __delattr__,SR
731,C API Working Group Charter,PA
729,Typing governance process,PA
